ticker,period,best_model,sharpe,composite_score,data_source,timestamp
KO,2000-01-01 -> 2026-01-01,Logistic,0.3717393566255622,0.4845462870709119,api,2026-04-14T20:34:14.965157+00:00
SPY,2000-01-01 -> 2026-01-01,Logistic,0.4375563329768239,0.5333333333333333,api,2026-04-15T16:44:44.143745+00:00
SPY,2000-01-01 -> 2026-01-01,Logistic,0.4375563329768239,0.5333333333333333,api,2026-04-15T19:39:34.869752+00:00
SPY,2000-01-01 -> 2026-01-01,LagReturnBaseline,0.0,0.6666666666666666,api,2026-04-15T19:52:58.072372+00:00
SPY,2000-01-01 -> 2026-01-01,LagReturnBaseline,3.924506880301644,1.0,api,2026-04-15T20:06:36.645520+00:00
SPY,2000-01-01 -> 2026-01-01,Ridge,0.2930802593570258,0.6135078460373231,api,2026-04-15T20:17:52.142333+00:00
SPY,2000-01-01 -> 2026-01-01,Ridge,0.2930802593570258,0.6135078460373231,api,2026-04-16T02:41:32.692536+00:00
SPY,2000-01-01 -> 2026-01-01,Ridge,0.2930802593570258,0.6135078460373231,api,2026-04-30T07:55:36.963445+00:00
SPY,2000-01-01 -> 2026-01-01,Ridge,-0.1686140703736776,0.3636990112174915,api,2026-04-30T08:04:03.420337+00:00
SPY,2000-01-01 -> 2026-01-01,Ridge,0.2930802593570258,0.6135078460373231,api,2026-05-01T05:55:41.858220+00:00
